iter	MultiClass
219	1.098487063
220	1.098486435
221	1.098485999
222	1.098485493
223	1.098484424
224	1.098483417
225	1.098482183
226	1.098482174
227	1.09848167
228	1.09848166
229	1.098480984
230	1.098480352
231	1.098479461
232	1.098478785
233	1.098478142
234	1.098478133
235	1.098477593
236	1.098477011
237	1.098477002
238	1.098476992
239	1.098476315
240	1.098476021
241	1.098475006
242	1.098473949
243	1.098473268
244	1.098473259
245	1.098472377
246	1.09847166
247	1.098470678
248	1.098469881
249	1.098469418
250	1.098468573
251	1.098467568
252	1.098466594
253	1.098466585
254	1.098465605
255	1.098465596
256	1.098464913
257	1.098464903
258	1.098464894
259	1.098464885
260	1.09846383
261	1.098463285
262	1.098463275
263	1.098462341
264	1.098461774
265	1.098461097
266	1.098461088
267	1.098461079
268	1.098461069
269	1.098460881
270	1.098460338
271	1.098459407
272	1.098458764
273	1.098458177
274	1.098457442
275	1.098456768
276	1.098455734
277	1.098455725
278	1.098454732
279	1.098454061
280	1.098453527
281	1.098453279
282	1.098452346
283	1.098451162
284	1.098450712
285	1.098450417
286	1.098449905
287	1.098449896
288	1.098449002
289	1.098448161
290	1.098447586
291	1.098446442
292	1.098445484
293	1.098445474
294	1.098444552
295	1.098443601
296	1.098443207
297	1.098442512
298	1.098441676
299	1.098441667
300	1.098441049
301	1.098440537
302	1.098440528
303	1.098439756
304	1.098438528
305	1.098437793
306	1.098437783
307	1.098437141
308	1.098437131
309	1.098436091
310	1.098435404
311	1.098435395
312	1.098435386
313	1.098435377
314	1.098435367
315	1.09843469
316	1.0984337
317	1.098433691
318	1.098433682
319	1.098432833
320	1.098432541
321	1.098432532
322	1.098432523
323	1.098432514
324	1.098431608
325	1.098431599
326	1.098430813
327	1.0984298
328	1.098429383
329	1.098429374
330	1.098429365
331	1.098428363
332	1.098428354
333	1.098428344
334	1.09842805
335	1.098427036
336	1.098425999
337	1.09842599
338	1.098425454
339	1.098425445
340	1.09842443
341	1.098423949
342	1.09842343
343	1.098423421
344	1.09842264
345	1.09842263
346	1.098421871
347	1.098421195
348	1.098420522
349	1.098420228
350	1.098419328
351	1.098418771
352	1.098418073
353	1.098417637
354	1.098416994
355	1.098416985
356	1.098416207
357	1.098416198
358	1.09841522
359	1.098413991
360	1.098413446
361	1.098413436
362	1.098412252
363	1.098411425
364	1.098410745
365	1.098410736
366	1.098410093
367	1.098409037
368	1.098409028
369	1.098409018
370	1.098407803
371	1.098407121
372	1.098407112
373	1.098407103
374	1.098405973
375	1.098405268
376	1.098405259
377	1.09840525
378	1.098404339
379	1.09840433
380	1.098404321
381	1.098403464
382	1.098402784
383	1.098402303
384	1.098401437
385	1.098401428
386	1.098400403
387	1.098400394
388	1.098399455
389	1.098399446
390	1.098399436
391	1.098399427
392	1.098399107
393	1.098398461
394	1.098398452
395	1.098397519
396	1.098396904
397	1.098395922
398	1.098395913
399	1.098395359
400	1.098394781
401	1.098394772
402	1.098394763
403	1.098394209
404	1.098393355
405	1.098392556
406	1.098392547
407	1.098392537
408	1.09839131
409	1.098390767
410	1.098390273
411	1.098389786
412	1.098389144
413	1.098387916
414	1.098387907
415	1.098386854
416	1.098386142
417	1.098386133
418	1.098385267
419	1.098385258
420	1.098384431
421	1.098383719
422	1.098383196
423	1.098383133
424	1.098382555
425	1.098381629
426	1.098381075
427	1.098381066
428	1.098381057
429	1.098380249
430	1.098379497
431	1.09837882
432	1.098378254
433	1.0983777
434	1.098377062
435	1.098377052
436	1.098377043
437	1.098376366
438	1.098376357
439	1.098376348
440	1.098375503
441	1.098374957
442	1.098374011
443	1.09837343
444	1.098372885
445	1.098372432
446	1.098372034
447	1.098372025
448	1.098371488
449	1.098370811
450	1.09837033
451	1.098370321
452	1.098369885
453	1.098369218
454	1.098368673
455	1.098368663
456	1.098367733
457	1.098367724
458	1.098367044
459	1.098366214
460	1.098366205
461	1.0983654
462	1.09836431
463	1.098364301
464	1.098363542
465	1.098363532
466	1.098363523
467	1.098362875
468	1.098362233
469	1.098362223
470	1.098361191
471	1.098361182
472	1.098361172
473	1.098360744
474	1.09836007
475	1.09835939
476	1.098358369
477	1.098357467
478	1.098356824
479	1.098355776
480	1.098354996
481	1.098354987
482	1.098354978
483	1.098354969
484	1.098354959
485	1.098354665
486	1.098353871
487	1.098353697
488	1.098353688
489	1.098353678
490	1.098353669
491	1.09835366
492	1.098353651
493	1.09835257
494	1.09835256
495	1.098351918
496	1.098351059
497	1.098350382
498	1.098349482
499	1.098349198
500	1.098349189
501	1.098348477
502	1.098347921
503	1.098347244
504	1.098346235
505	1.098345592
506	1.098345014
507	1.098344428
508	1.098343769
509	1.098343759
510	1.098343206
511	1.098343197
512	1.0983426
513	1.098341683
514	1.098341674
515	1.098341665
516	1.098340953
517	1.098340144
518	1.098339638
519	1.098339629
520	1.09833962
521	1.09833871
522	1.098338164
523	1.098337669
524	1.098336441
525	1.098335477
526	1.098334403
527	1.09833336
528	1.098332585
529	1.098331774
530	1.098331765
531	1.098330842
532	1.098330833
533	1.098330156
534	1.09832948
535	1.098328727
536	1.098328553
537	1.098327782
538	1.09832728
539	1.098326344
540	1.098325832
541	1.098325173
542	1.098325164
543	1.098325155
544	1.098324442
545	1.098324433
546	1.098324424
547	1.098324415
548	1.098323978
549	1.098323328
550	1.098322294
551	1.098321519
552	1.098320858
553	1.098320849
554	1.098320386
555	1.098320377
556	1.098319516
557	1.098319507
558	1.098318831
559	1.098317788
560	1.09831715
561	1.098316126
562	1.098316116
563	1.098315137
564	1.098315128
565	1.098314594
566	1.098314584
567	1.098314339
568	1.098313627
569	1.098312987
570	1.098312127
571	1.098311657
572	1.098310831
573	1.098310154
574	1.098309378
575	1.098308898
576	1.098308806
577	1.098308486
578	1.098307698
579	1.098307689
580	1.098306609
581	1.098306599
582	1.09830561
583	1.098305601
584	1.098305592
585	1.098305583
586	1.098304871
587	1.098304021
588	1.098303168
589	1.09830258
590	1.098301938
591	1.098301426
592	1.09830069
593	1.098299517
594	1.098298841
595	1.098298832
596	1.098298196
597	1.098298187
598	1.098297038
599	1.098296504
600	1.098296495
601	1.098296485
602	1.098296476
603	1.098296182
604	1.098295599
605	1.098294643
606	1.098293779
607	1.098293158
608	1.098292189
609	1.098291171
610	1.098290331
611	1.098289221
612	1.098289212
613	1.098288025
614	1.098287171
615	1.098286143
616	1.09828568
617	1.098285671
618	1.098285394
619	1.0982842
620	1.098283575
621	1.098282683
622	1.098282137
623	1.098282075
624	1.098281059
625	1.098279842
626	1.098279832
627	1.098279823
628	1.098279146
629	1.098278601
630	1.098278591
631	1.0982778
632	1.098276618
633	1.098276608
634	1.098275874
635	1.098275231
636	1.09827435
637	1.098273763
638	1.098273754
639	1.098272961
640	1.098272952
641	1.098271974
642	1.098271965
643	1.098271387
644	1.098270884
645	1.098269987
646	1.098269977
647	1.098269968
648	1.098269331
649	1.098269321
650	1.098268809
651	1.098268231
652	1.098267725
653	1.098267211
654	1.098266657
655	1.098265896
656	1.098265352
657	1.098264566
658	1.09826375
659	1.098262467
660	1.098262458
661	1.098262449
662	1.098262356
663	1.098262347
664	1.098262338
665	1.098262329
666	1.098261726
667	1.098260793
668	1.098259971
669	1.098259962
670	1.098259952
671	1.098259943
672	1.098259134
673	1.098258403
674	1.098258393
675	1.098257713
676	1.098257704
677	1.098256992
678	1.098256983
679	1.098256324
680	1.098255503
681	1.098254619
682	1.098253907
683	1.098253898
684	1.098252975
685	1.098252229
686	1.098251239
687	1.098250945
688	1.098250354
689	1.098249784
690	1.098249104
691	1.098248416
692	1.098247774
693	1.098247765
694	1.098246686
695	1.098246184
696	1.098246174
697	1.098245134
698	1.098244069
699	1.098242896
700	1.098242887
701	1.098242877
702	1.09824216
703	1.098242151
704	1.098242142
705	1.098241062
706	1.098240218
707	1.09823919
708	1.098238895
709	1.09823798
710	1.098237468
711	1.098236574
712	1.098235801
713	1.098234983
714	1.098234437
715	1.098234428
716	1.098233324
717	1.098232451
718	1.098232442
719	1.098232432
720	1.098232423
721	1.098231573
722	1.098230959
723	1.09823095
724	1.098230206
725	1.098230197
726	1.098229292
727	1.098228311
728	1.098227788
729	1.098227075
730	1.098226436
731	1.098225555
732	1.098225546
733	1.098225251
734	1.098224655
735	1.098224238
736	1.098223562
737	1.098222746
738	1.098222243
739	1.098222234
740	1.098221517
741	1.098220607
742	1.098219522
743	1.098218988
744	1.098218442
745	1.098217923
746	1.098217049
747	1.098216499
748	1.098215819
749	1.09821581
750	1.0982154
751	1.0982146
752	1.098213917
753	1.098213245
754	1.098213236
755	1.098213227
756	1.09821255
757	1.098212302
758	1.098211438
759	1.098211429
760	1.098210617
761	1.098210608
762	1.098210599
763	1.098209919
764	1.098209909
765	1.0982099
766	1.098209502
767	1.098208918
768	1.098208909
769	1.09820807
770	1.09820699
771	1.098206981
772	1.098206972
773	1.098206354
774	1.098205712
775	1.098205703
776	1.098205026
777	1.098204563
778	1.098203418
779	1.098202741
780	1.098201989
781	1.098201277
782	1.098200286
783	1.098199181
784	1.098198372
785	1.098197605
786	1.098196428
787	1.098195768
788	1.098195759
789	1.098195749
790	1.098194659
791	1.098194649
792	1.09819464
793	1.098193928
794	1.098192755
795	1.098192043
796	1.098192034
797	1.098191008
798	1.098190275
799	1.098190266
800	1.098189544
801	1.098188868
802	1.098188188
803	1.098187528
804	1.098187281
805	1.098186053
806	1.098185377
807	1.098185368
808	1.098185073
809	1.098183845
810	1.098183128
811	1.098183119
812	1.098181886
813	1.098181877
814	1.098181867
815	1.098181191
816	1.09818053
817	1.098179806
818	1.098179278
819	1.098178619
820	1.09817768
821	1.098176812
822	1.098176376
823	1.098175314
824	1.098174897
825	1.098173934
826	1.098173313
827	1.098172248
828	1.098171365
829	1.098170525
830	1.098169621
831	1.098169612
832	1.098169603
833	1.098169101
834	1.098169091
835	1.098169082
836	1.098169073
837	1.098168361
838	1.098168351
839	1.098167782
840	1.098167236
841	1.098166249
842	1.098165814
843	1.098164899
844	1.098164188
845	1.098164179
846	1.09816417
847	1.098164161
848	1.098162928
849	1.098162835
850	1.098161841
851	1.09816116
852	1.098160166
853	1.098160157
854	1.098160147
855	1.098160138
856	1.098159492
857	1.098159483
858	1.098158938
859	1.098157936
860	1.098157011
861	1.098156433
862	1.098155422
863	1.09815478
864	1.098153547
865	1.098153538
866	1.098152687
867	1.09815212
868	1.098151223
869	1.098151214
870	1.098150548
871	1.098150063
872	1.098149166
873	1.098149156
874	1.098148388
875	1.098148379
876	1.09814837
877	1.098147231
878	1.098147221
879	1.098146237
880	1.098145671
881	1.098144887
882	1.098144878
883	1.098144869
884	1.098144859
885	1.09814445
886	1.098143808
887	1.098143799
888	1.09814379
889	1.098143021
890	1.098142081
891	1.098141421
892	1.098140476
893	1.098139613
894	1.098139604
895	1.098138928
896	1.098138416
897	1.098138406
898	1.098137764
899	1.098137087
900	1.098136136
901	1.098135354
902	1.098134852
903	1.098134265
904	1.098134255
905	1.098133718
906	1.098133173
907	1.098132075
908	1.098132066
909	1.098131398
910	1.098130784
911	1.098130775
912	1.09812994
913	1.098129931
914	1.098129038
915	1.098129029
916	1.098128099
917	1.09812809
918	1.098128081
919	1.098128071
920	1.098127777
921	1.098127768
922	1.098126955
923	1.098125973
924	1.098125964
925	1.098125954
926	1.098124771
927	1.098124217
928	1.098123644
929	1.0981226
930	1.098121971
931	1.098121962
932	1.098120735
933	1.098120726
934	1.098120259
935	1.09812025
936	1.098119383
937	1.098118546
938	1.098117318
939	1.098116554
940	1.098115897
941	1.098115461
942	1.098115452
943	1.098115443
944	1.098115434
945	1.098115139
946	1.09811513
947	1.098114283
948	1.098113395
949	1.098112691
950	1.098112682
951	1.098112673
952	1.098111604
953	1.098111029
954	1.098110476
955	1.098110466
956	1.098109754
957	1.098109252
958	1.09810854
959	1.098108531
960	1.098108028
961	1.098106942
962	1.098106396
963	1.098106387
964	1.098105721
965	1.098105712
966	1.098105703
967	1.098105694
968	1.098104685
969	1.098104495
970	1.098103807
971	1.098102776
972	1.098101549
973	1.09810154
974	1.098101531
975	1.098101522
976	1.098101512
977	1.098101503
978	1.098101494
979	1.098101485
980	1.098100454
981	1.098099742
982	1.098098916
983	1.098098056
984	1.098098047
985	1.098097182
986	1.098096563
987	1.098096315
988	1.098096067
989	1.098095037
990	1.098094848
991	1.098094839
992	1.098094163
993	1.09809352
994	1.098092465
995	1.098092004
996	1.098091029
997	1.09809102
998	1.098091011
999	1.09809053
